URL,Link
http://www.youtube.com/watch?v=QH8f9k2IXaE,“Quadrophonic Toppling”
https://www.youtube.com/watch?v=EY2liuzB76o,“Happy Whip and Dung Song”
https://www.youtube.com/watch?v=2uJy9xvuYig,“Happy Birthday to You”
https://www.youtube.com/watch?v=Majnwp3l084,“Auld Lang Syne”
https://www.youtube.com/watch?v=3PPHJguHhqc,“Star Spangled Banner”
https://www.youtube.com/watch?v=bMcgxsiGPbM,“Spread It ‘Round”
https://www.youtube.com/watch?v=wwVn9ZfVoSA,“Night Nurse”
https://www.youtube.com/watch?v=oS9w6Uf86ys,“Tubthumping”
https://www.youtube.com/watch?v=j7O9NbjqJRM,“Sleep Again”
http://www.youtube.com/watch?v=TWNBP3Ybx8g,“Rock and Roll Part 2″
http://www.youtube.com/watch?v=-ItwERSVTSM,“Killing in the Name”
http://www.youtube.com/watch?v=hV3OyvsddN4,“Amazing Grace”
http://www.youtube.com/watch?v=Top2q1zrbL8,“Wipe Out”
http://www.youtube.com/watch?v=MlNgKQU4wHs,“California Love”
https://www.youtube.com/watch?v=Zx-5-KU3bpc,“Gettin’ Jiggy Wit It”
http://www.youtube.com/watch?v=-JtO699Qmxs,“Quinn the Eskimo”
https://www.youtube.com/watch?v=ZAOhGXrrYjQ,“Sabotage”
https://www.youtube.com/watch?v=PPhpfSeXTUk,“Highway to Hell”
http://www.youtube.com/watch?v=oMpsXQZYOmg,“Corinna”
http://www.youtube.com/watch?v=UxEXrIsmI2I,“Johnny B. Goode”
http://www.youtube.com/watch?v=CPPKwDn7kW4,“Back at the Chicken Shack”
http://www.youtube.com/watch?v=_2OoXcAtIw0,“Low Rider”
http://www.youtube.com/watch?v=AVmKcktCMck,“Buffalo Bill”
http://www.youtube.com/watch?v=PkbaMAQNw6w,“Walk Away”
https://www.youtube.com/watch?v=FGJAxPnj-yI,“Fish Bass”
http://www.youtube.com/watch?v=57_ky-8mL5Y,“Soul Shakedown Party”
http://www.youtube.com/watch?v=QH8f9k2IXaE,“Quadrophonic Toppling”
http://www.youtube.com/watch?v=ZftsADLeItE,“End of Session”
https://www.youtube.com/watch?v=EY2liuzB76o,“The Happy Whip and Dung Song”
http://www.youtube.com/watch?v=uZJN0vDkJvE,“Albert”
https://www.youtube.com/watch?v=g27V51qxXyI,“La Grange”
http://www.youtube.com/watch?v=u3VxinNVdWI,“Jesus Just Left Chicago”
http://www.youtube.com/watch?v=xLIIUlO4DZE,“Touch Me”
http://www.youtube.com/watch?v=XSGImwI5yz0,“Cannonball”
https://www.youtube.com/watch?v=k_9cjo_qaDw,“Disease”
https://www.youtube.com/watch?v=Jvc3WdSetf4,“Chalk Dust”
https://www.youtube.com/watch?v=rg77L7e9EQY,“Tweezer”
http://www.youtube.com/watch?v=0BVg5CXvudw,“And So to Bed”
http://www.youtube.com/watch?v=y81q8FUToqc,“Aftermath”
http://www.youtube.com/watch?v=g9CFWpNYr5o,“Lengthwise”
https://www.youtube.com/watch?v=9tvXGGiGHZE,“Silent in the Morning”
http://www.youtube.com/watch?v=pVpceCLuCC8,“Liquid Time”
https://www.youtube.com/watch?v=-tGsErGizBI,“Time Turns Elastic”
http://www.youtube.com/watch?v=jk9rj7J78hs,“After Midnight”
http://www.youtube.com/watch?v=uXcPgxQv4p0,“She Thinks I Still Care”
http://www.youtube.com/watch?v=u2wbEQz8b1A,“Crossroads”
http://www.youtube.com/watch?v=82WvYXe3AnY,“Fooled Around and Fell in Love”
http://www.youtube.com/watch?v=mD9oXYId66E,“Faht”
http://www.youtube.com/watch?v=pZjH2LFFdpY,“Steep”
http://www.youtube.com/watch?v=jk9rj7J78hs,“After Midnight”
https://www.youtube.com/watch?v=jaCsBnxX3mQ,“Black-Eyed Katy”
http://www.youtube.com/watch?v=um_2zfCN4r8,“Keyboard Army”
http://www.youtube.com/watch?v=FkT4YwkUFus,“Shine”
https://www.youtube.com/watch?v=mZlbFtrYyiY,“Albuquerque”
http://www.youtube.com/watch?v=qezBbRHMEZA,“No Dogs Allowed”
http://www.youtube.com/watch?v=jiSnOp081aU,“Sparks”
http://www.youtube.com/watch?v=_SpekkUBHdA,“Access Me”
http://www.youtube.com/watch?v=W7w_lgyWNnk,“Minkin”
http://www.youtube.com/watch?v=-s7hF6NWEzI,“Jumpin’ Jack Flash”
http://www.youtube.com/watch?v=jrpAjjZkrew,“Emotional Rescue”
http://www.youtube.com/watch?v=ojO0nDpRs54,“Dog Gone Dog”
http://www.youtube.com/watch?v=y81q8FUToqc,“Aftermath”
http://www.youtube.com/watch?v=0BVg5CXvudw,“And So to Bed”
https://www.youtube.com/watch?v=to34sdqogsY,“Only a Dream”
http://www.youtube.com/watch?v=pVpceCLuCC8,“Liquid Time”
